Trajectories
50
,,Facetracking Jonas:LEyebrow1,,,Facetracking Jonas:REyebrow1,,,Facetracking Jonas:Nosetip1,,,Facetracking Jonas:LMoothside1,,,Facetracking Jonas:RMoothside1,,,Facetracking Jonas:Chin1,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,295.731,-425.537,1243.54,385.655,-354.021,1252.81,301.868,-342.133,1207.07,,,,,,,316.52,-357.065,1132.94
2,0,295.805,-425.238,1243.52,385.723,-353.819,1252.75,301.933,-341.777,1207.01,,,,,,,316.697,-356.721,1132.68
3,0,295.964,-425.082,1243.48,385.805,-353.673,1252.69,301.664,-341.585,1207.16,,,,,,,316.688,-356.575,1132.76
4,0,296.107,-424.775,1243.35,385.922,-353.547,1252.59,301.911,-341.296,1207.14,,,,,,,317.036,-356.658,1132.55
5,0,296.163,-424.538,1243.26,386.069,-353.383,1252.44,302.069,-341.073,1207.01,,,,,,,317.104,-356.487,1132.38
6,0,296.206,-424.326,1243.15,386.257,-353.232,1252.27,302.179,-340.969,1206.71,,,,,,,317.272,-356.368,1132.14
7,0,296.232,-424.173,1243.05,386.583,-353.068,1252.09,302.217,-340.828,1206.62,,,,,,,317.397,-356.254,1131.94
8,0,296.296,-424.057,1242.93,386.489,-353.04,1251.93,302.281,-340.696,1206.45,,,,,,,317.475,-356.176,1131.72
9,0,296.38,-423.985,1242.83,386.586,-352.946,1251.76,302.317,-340.64,1206.34,,,,,,,317.66,-356.234,1131.57
10,0,296.245,-423.922,1242.87,386.72,-352.868,1251.62,302.397,-340.667,1206.19,,,,,,,317.683,-356.232,1131.39
11,0,296.531,-423.981,1242.85,386.824,-352.897,1251.47,302.689,-340.623,1205.98,,,,,,,317.765,-356.257,1131.25
12,0,296.748,-423.924,1242.83,386.972,-352.896,1251.42,302.687,-340.648,1206,,,,,,,316.781,-355.9,1131.71
13,0,296.417,-424.301,1243.29,387.145,-352.924,1251.45,302.847,-340.696,1206.01,,,,,,,317.548,-356.167,1131.33
14,0,296.332,-424.651,1243.6,387.283,-352.989,1251.49,302.981,-340.72,1206.02,,,,,,,316.877,-355.891,1131.88
15,0,296.603,-424.421,1243.49,387.448,-353.135,1251.54,303.132,-340.731,1206.14,,,,,,,317.067,-355.965,1131.96
16,0,296.992,-424.345,1243.35,387.643,-353.203,1251.58,303.229,-340.889,1206.15,,,,,,,318.55,-356.873,1131.48
17,0,296.77,-424.664,1243.53,387.749,-353.341,1251.66,303.18,-340.859,1206.32,,,,,,,318.429,-356.567,1131.76
18,0,297.147,-424.559,1243.41,387.729,-353.43,1251.59,303.168,-340.995,1206.51,,,,,,,318.416,-356.642,1131.82
19,0,297.022,-424.811,1243.49,387.707,-353.46,1251.63,303.452,-341.228,1206.53,,,,,,,318.221,-356.607,1132.01
20,0,297.008,-424.897,1243.47,387.598,-353.533,1251.66,303.452,-341.204,1206.51,,,,,,,318.122,-356.501,1132.11
21,0,297.352,-424.727,1243.17,387.511,-353.594,1251.67,303.367,-341.274,1206.5,,,,,,,318.089,-356.472,1132.11
22,0,297.311,-424.737,1243.07,387.436,-353.585,1251.66,303.098,-341.161,1206.56,,,,,,,318.041,-356.402,1132.07
23,0,297.016,-424.666,1242.98,387.353,-353.639,1251.71,303.099,-341.135,1206.49,,,,,,,317.987,-356.383,1132.01
24,0,296.924,-424.614,1242.87,387.247,-353.614,1251.68,303.038,-341.16,1206.36,,,,,,,317.952,-356.521,1131.82
25,0,296.8,-424.556,1242.8,387.203,-353.516,1251.61,302.997,-341.18,1206.09,,,,,,,318.283,-357.018,1131.49
26,0,296.721,-424.614,1242.52,387.031,-353.624,1251.57,302.961,-341.175,1205.93,,,,,,,318.06,-356.949,1131.35
27,0,296.517,-424.54,1242.64,386.938,-353.638,1251.52,302.802,-341.334,1205.93,,,,,,,317.407,-356.799,1131.67
28,0,296.483,-424.554,1242.6,386.863,-353.669,1251.5,302.888,-341.294,1205.81,,,,,,,317.602,-356.94,1131.54
29,0,296.742,-424.699,1242.46,386.814,-353.773,1251.56,302.764,-341.421,1205.85,,,,,,,318.328,-357.365,1131.35
30,0,296.733,-424.76,1242.36,386.728,-353.867,1251.52,302.812,-341.486,1205.78,,,,,,,318.337,-357.535,1131.03
31,0,296.485,-424.782,1242.49,386.75,-353.931,1251.6,302.827,-341.549,1205.77,,,,,,,318.595,-357.765,1130.99
32,0,296.452,-424.861,1242.47,386.694,-354.039,1251.61,302.81,-341.664,1205.82,,,,,,,318.632,-357.848,1130.99
33,0,296.414,-424.955,1242.49,386.72,-354.134,1251.6,302.756,-341.773,1205.86,,,,,,,318.546,-357.904,1131
34,0,296.413,-425.07,1242.43,386.595,-354.263,1251.55,302.718,-341.886,1205.83,,,,,,,318.517,-358.024,1130.96
35,0,296.201,-425.143,1242.34,386.662,-354.358,1251.49,302.675,-342.04,1205.86,,,,,,,318.476,-358.133,1130.87
36,0,296.185,-425.245,1242.31,386.63,-354.425,1251.48,302.717,-341.984,1205.75,,,,,,,318.412,-358.191,1130.82
37,0,295.988,-425.445,1242.52,386.487,-354.476,1251.46,302.63,-342.047,1205.74,,,,,,,318.306,-358.277,1130.75
38,0,295.942,-425.488,1242.53,386.485,-354.487,1251.46,302.566,-342.185,1205.74,,,,,,,318.236,-358.32,1130.71
39,0,295.865,-425.555,1242.55,386.46,-354.474,1251.39,302.554,-342.186,1205.67,,,,,,,318.199,-358.37,1130.62
40,0,295.869,-425.591,1242.52,386.409,-354.518,1251.34,302.531,-342.254,1205.64,,,,,,,318.135,-358.455,1130.58
41,0,295.797,-425.617,1242.55,386.417,-354.525,1251.33,302.518,-342.291,1205.59,,,,,,,318.122,-358.531,1130.57
42,0,295.793,-425.623,1242.55,386.396,-354.557,1251.34,302.527,-342.297,1205.56,,,,,,,318.117,-358.536,1130.6
43,0,295.77,-425.621,1242.58,386.382,-354.595,1251.36,302.536,-342.347,1205.56,,,,,,,318.221,-358.581,1130.56
44,0,295.678,-425.668,1242.62,386.37,-354.625,1251.39,302.531,-342.373,1205.57,,,,,,,318.232,-358.578,1130.53
45,0,295.647,-425.682,1242.65,386.325,-354.721,1251.41,302.505,-342.433,1205.59,,,,,,,318.306,-358.716,1130.54
46,0,295.56,-425.818,1242.82,386.305,-354.725,1251.43,302.307,-342.414,1205.8,,,,,,,318.158,-358.596,1130.61
47,0,295.428,-425.865,1242.86,386.232,-354.764,1251.43,302.264,-342.43,1205.8,,,,,,,318.055,-358.607,1130.63
48,0,295.606,-425.954,1242.76,386.195,-354.719,1251.45,302.219,-342.419,1205.76,,,,,,,318.051,-358.536,1130.63
49,0,295.541,-425.882,1242.64,386.127,-354.659,1251.46,302.332,-342.356,1205.62,,,,,,,318.085,-358.438,1130.56
50,0,295.287,-425.802,1242.67,386.071,-354.587,1251.48,302.306,-342.243,1205.63,,,,,,,318.245,-358.384,1130.78
51,0,295.454,-425.739,1242.62,385.996,-354.501,1251.48,302.226,-342.135,1205.61,,,,,,,318.159,-358.27,1130.8
52,0,295.495,-425.607,1242.56,385.994,-354.38,1251.47,302.276,-341.997,1205.52,,,,,,,318.038,-358.21,1130.65
53,0,295.479,-425.477,1242.56,386.042,-354.282,1251.41,302.352,-341.948,1205.42,,,,,,,318.148,-358.204,1130.52
