Trajectories
50
,,Facetracking Jonas:LEyebrow1,,,Facetracking Jonas:REyebrow1,,,Facetracking Jonas:Nosetip1,,,Facetracking Jonas:LMoothside1,,,Facetracking Jonas:RMoothside1,,,Facetracking Jonas:Chin1,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-666.938,-164.354,1244.95,-636.392,-276.148,1247.41,-595.758,-201.012,1202.26,-641.092,-180.097,1170.85,-620.512,-245.672,1164.59,-618.598,-207.529,1136.56
2,0,-666.673,-164.444,1244.75,-636.143,-276.469,1247.37,-595.728,-201.374,1201.95,-640.968,-180.221,1170.56,-620.678,-245.88,1164.22,-618.672,-207.639,1136.4
3,0,-666.404,-164.503,1244.68,-636.086,-276.495,1247.14,-595.836,-201.84,1201.62,-640.809,-180.298,1170.33,-620.693,-245.966,1163.96,-618.678,-207.895,1136.15
4,0,-666.096,-164.546,1244.49,-636.014,-276.487,1246.93,-595.773,-201.886,1201.38,-640.724,-180.435,1170.21,-620.612,-246.039,1163.82,-618.766,-208.085,1135.92
5,0,-665.924,-164.663,1244.27,-635.98,-276.547,1246.77,-595.687,-202.067,1201.25,-640.676,-180.548,1170.04,-620.562,-246.143,1163.67,-618.704,-208.299,1135.71
6,0,-665.902,-164.669,1244.1,-635.997,-276.546,1246.7,-595.551,-202.149,1201.19,-640.465,-180.601,1169.93,-620.426,-246.21,1163.62,-618.663,-208.549,1135.56
7,0,-665.91,-164.645,1243.99,-636.011,-276.54,1246.74,-595.482,-202.196,1201.15,-640.249,-180.643,1169.84,-620.322,-246.311,1163.61,-618.561,-208.684,1135.47
8,0,-665.966,-164.513,1243.81,-636.018,-276.521,1246.81,-595.393,-202.189,1201.19,-639.887,-180.293,1169.78,-620.297,-246.328,1163.55,-618.384,-208.759,1135.46
9,0,-666.029,-164.403,1243.65,-636,-276.44,1246.94,-595.314,-202.143,1201.2,-639.772,-180.331,1169.69,-620.233,-246.323,1163.52,-618.295,-208.828,1135.4
10,0,-666.139,-164.252,1243.53,-636.052,-276.361,1246.91,-595.18,-201.889,1201.28,-639.782,-180.342,1169.62,-620.091,-246.284,1163.58,-618.157,-208.777,1135.38
11,0,-666.245,-164.129,1243.38,-635.971,-276.25,1247.02,-595.261,-201.703,1201.34,-639.811,-180.318,1169.55,-620.036,-246.265,1163.59,-618.091,-208.754,1135.37
12,0,-666.359,-163.997,1243.23,-635.927,-276.094,1247.03,-595.308,-201.541,1201.35,-639.697,-180.288,1169.37,-619.995,-246.179,1163.56,-618,-208.679,1135.38
13,0,-666.512,-163.918,1243.1,-635.873,-275.987,1247.08,-595.339,-201.323,1201.34,-639.87,-180.202,1169.24,-619.903,-246.009,1163.55,-618.046,-208.677,1135.24
14,0,-666.682,-163.583,1243.05,-635.786,-275.866,1247.06,-595.331,-201.069,1201.37,-639.964,-180.091,1169.13,-619.778,-245.904,1163.53,-617.949,-208.54,1135.28
15,0,-666.777,-163.778,1242.83,-635.722,-275.772,1247.07,-595.375,-200.894,1201.32,-639.989,-179.999,1169.06,-619.681,-245.771,1163.52,-617.85,-208.391,1135.29
16,0,-666.945,-163.528,1242.73,-635.635,-275.619,1247.17,-595.417,-200.694,1201.31,-640.009,-179.956,1169,-619.603,-245.729,1163.5,-617.751,-208.365,1135.23
17,0,-666.751,-163.414,1242.2,-635.589,-275.559,1247.16,-595.399,-200.517,1201.25,-640.009,-179.961,1168.9,-619.476,-245.73,1163.49,-617.724,-208.323,1135.19
18,0,-666.998,-163.712,1242.22,-635.553,-275.467,1247.12,-595.404,-200.39,1201.24,-640.109,-179.922,1168.83,-619.492,-245.697,1163.46,-617.604,-208.283,1135.15
19,0,-667.055,-163.569,1242.18,-635.579,-275.386,1246.95,-595.402,-200.29,1201.17,-640.124,-179.897,1168.8,-619.415,-245.679,1163.41,-617.165,-208.302,1135.32
20,0,-667.074,-163.554,1242.19,-635.407,-275.416,1246.9,-595.38,-200.257,1201.08,-640.132,-179.876,1168.78,-619.297,-245.616,1163.4,-616.311,-208.686,1135.71
21,0,-666.9,-163.673,1242.05,-635.428,-275.406,1246.79,-595.253,-200.228,1201.03,-640.141,-179.919,1168.73,-619.248,-245.629,1163.36,-616.12,-208.654,1135.75
22,0,-666.83,-163.741,1242.03,-635.297,-275.48,1246.65,-595.18,-200.259,1200.95,-640.076,-179.926,1168.7,-619.113,-245.661,1163.34,,,
23,0,-666.706,-163.784,1242.06,-635.421,-275.72,1246.27,-595.058,-200.295,1200.83,-640.035,-179.934,1168.67,-619.093,-245.637,1163.23,,,
24,0,-666.678,-163.982,1242.16,-635.219,-275.576,1246.27,-594.938,-200.321,1200.8,-640.212,-180.247,1168.63,-619.007,-245.647,1163.16,,,
25,0,-666.52,-163.993,1242.22,-635.145,-275.589,1246.19,-594.798,-200.319,1200.7,-640.051,-180.253,1168.65,-618.981,-245.64,1163.11,,,
26,0,-666.327,-163.987,1242.16,-635.084,-275.512,1246.17,-594.708,-200.354,1200.56,-640.044,-180.01,1168.42,-618.851,-245.727,1163.06,-617.386,-208.187,1134.71
27,0,-666.094,-163.951,1242.14,-635.002,-275.568,1246.02,-594.582,-200.397,1200.49,-640.092,-180.001,1168.24,-618.805,-245.758,1162.98,-616.965,-208.374,1134.9
28,0,-665.928,-163.895,1242.14,-634.8,-275.416,1245.98,-594.483,-200.413,1200.45,-639.98,-180.301,1168.48,-618.775,-245.731,1162.95,-617.259,-208.072,1134.59
29,0,-665.756,-163.777,1242.17,-634.622,-275.349,1245.92,-594.362,-200.452,1200.39,-639.921,-180.287,1168.4,-618.65,-245.7,1162.92,-619.7,-208.386,1133.45
30,0,-665.525,-163.604,1242.14,-634.52,-275.29,1245.92,-594.302,-200.465,1200.32,-639.841,-180.223,1168.33,-618.588,-245.62,1162.84,-617.086,-207.934,1134.52
31,0,-665.348,-163.511,1242.16,-634.418,-275.244,1245.87,-594.206,-200.471,1200.29,-639.492,-179.625,1168.38,-618.522,-245.455,1162.78,-616.947,-207.95,1134.46
32,0,-665.154,-163.391,1242.17,-634.306,-275.199,1245.9,-594.117,-200.505,1200.29,-639.294,-179.428,1168.47,-618.506,-245.318,1162.79,-618.936,-208.625,1133.38
33,0,-664.959,-163.274,1242.21,-634.247,-275.167,1245.86,-594.031,-200.514,1200.28,-639.139,-179.332,1168.55,-618.493,-245.225,1162.73,-618.757,-208.522,1133.43
34,0,-664.633,-163.052,1242.11,-634.156,-275.114,1245.9,-593.861,-200.484,1200.37,-638.956,-179.192,1168.57,-618.452,-245.094,1162.62,-619.254,-208.509,1133.19
35,0,-664.538,-163.162,1242.09,-634.068,-275.088,1245.87,-593.945,-200.568,1200.24,-638.72,-179.172,1168.55,-618.343,-245.07,1162.57,-618.788,-208.407,1133.26
36,0,-664.485,-163.087,1242.19,-633.986,-275.066,1245.85,-593.813,-200.614,1200.16,-638.589,-179.135,1168.56,-618.261,-245.029,1162.54,-616.714,-207.754,1134.13
37,0,-664.348,-163.04,1242.19,-633.903,-275.077,1245.83,-593.462,-200.523,1200.23,-638.385,-179.107,1168.47,-618.205,-244.997,1162.46,-616.487,-207.551,1134.22
38,0,-664.189,-163.063,1242.2,-633.9,-274.992,1245.76,-593.334,-200.415,1200.21,-638.279,-179.137,1168.49,-618.068,-244.961,1162.44,-616.311,-207.425,1134.2
39,0,-664.05,-163.084,1242.23,-633.828,-275.008,1245.7,-593.135,-200.281,1200.18,-638.097,-179.157,1168.51,-617.915,-244.943,1162.4,-616.147,-207.35,1134.19
40,0,-663.919,-163.096,1242.25,-633.721,-274.944,1245.62,-592.95,-200.264,1200.17,-637.846,-179.154,1168.5,-617.769,-244.952,1162.26,-615.989,-207.243,1134.2
41,0,-663.814,-163.132,1242.25,-633.622,-274.988,1245.57,-592.957,-200.598,1200.03,-637.709,-179.133,1168.48,-617.651,-244.948,1162.27,-615.837,-207.203,1134.19
42,0,-663.691,-163.167,1242.23,-633.481,-274.924,1245.49,-592.615,-200.335,1200.05,-637.865,-179.458,1168.38,-617.492,-244.99,1162.26,-615.696,-207.226,1134.18
43,0,-663.605,-163.152,1242.23,-633.337,-274.987,1245.44,-592.554,-200.398,1200,-637.846,-179.498,1168.27,-617.38,-245.035,1162.26,-615.723,-207.22,1134.09
44,0,-663.522,-163.051,1242.31,-633.205,-275.002,1245.36,-592.463,-200.409,1199.94,-637.82,-179.503,1168.25,-617.36,-245.058,1162.07,-615.512,-207.23,1134.11
45,0,-663.399,-163.094,1242.32,-633.074,-275.008,1245.3,-592.317,-200.44,1199.9,-637.78,-179.535,1168.24,-617.052,-245.319,1162.22,-615.495,-207.249,1134.07
46,0,-663.206,-163.093,1242.25,-632.949,-274.992,1245.34,-592.216,-200.419,1199.82,-637.743,-179.554,1168.19,-617.073,-245.143,1161.95,-615.475,-207.225,1133.98
47,0,-663.054,-163.053,1242.24,-632.799,-274.956,1245.18,-592.112,-200.433,1199.77,-637.691,-179.553,1168.17,-616.9,-245.169,1161.85,-615.441,-207.27,1133.89
48,0,-662.853,-163.03,1242.16,-632.615,-274.952,1245.17,-591.936,-200.213,1199.66,-637.683,-179.574,1168.1,-616.794,-245.163,1161.81,-615.359,-207.265,1133.86
49,0,-662.515,-163.045,1241.99,-632.411,-275.138,1245.04,-591.813,-200.257,1199.61,-637.625,-179.593,1168.11,-616.728,-245.223,1161.77,-615.217,-207.254,1133.87
50,0,-662.27,-163.057,1241.94,-632.39,-274.823,1244.96,-591.697,-200.314,1199.59,-637.504,-179.646,1168.07,-616.632,-245.206,1161.79,-615.085,-207.233,1133.93
51,0,-662.053,-163.063,1241.89,-631.792,-275.176,1245.07,-591.713,-200.761,1199.56,-637.362,-179.596,1168.13,-616.592,-245.212,1161.8,-614.874,-207.22,1133.94
52,0,-661.849,-163.081,1241.87,-631.986,-274.901,1245.05,-591.608,-200.789,1199.55,-637.048,-179.528,1168.16,-616.557,-245.174,1161.76,-614.545,-207.024,1134.12
53,0,-661.67,-163.067,1241.89,-631.93,-275.018,1244.99,-591.609,-200.598,1199.75,-636.564,-179.516,1168.25,-616.417,-245.206,1161.77,-614.238,-207.013,1134.19
54,0,-661.609,-163.048,1241.94,-631.895,-274.776,1245.02,-591.299,-200.561,1199.76,-636.493,-179.296,1168.29,-616.199,-245.096,1161.84,-614.025,-206.862,1134.22
