Trajectories
50
,,Facetracking Jonas:LEyebrow1,,,Facetracking Jonas:REyebrow1,,,Facetracking Jonas:Nosetip1,,,Facetracking Jonas:LMoothside1,,,Facetracking Jonas:RMoothside1,,,Facetracking Jonas:Chin1,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,291.108,660.185,1230.55,179.194,709.748,1218.32,215.142,621.281,1192.27,,,,,,,231.666,642.264,1094.86
2,0,291.025,660.374,1230.49,179.095,709.816,1218.35,215.143,621.558,1192.26,,,,,,,,,
3,0,290.943,660.529,1230.44,179.028,709.889,1218.38,215.16,621.246,1192.77,,,,,,,233.431,644.562,1093.87
4,0,290.947,660.58,1230.45,179.036,709.944,1218.31,215.19,621.388,1192.68,,,,,,,231.593,642.538,1094.87
5,0,290.909,660.655,1230.39,178.992,710.001,1218.33,215.049,621.527,1192.51,,,,,,,231.637,642.661,1094.79
6,0,290.86,660.695,1230.35,178.896,710.001,1218.31,215.131,621.471,1192.65,,,,,,,233.965,645.469,1093.25
7,0,290.774,660.778,1230.3,178.922,710.01,1218.27,215.097,621.468,1192.68,,,,,,,233.767,645.134,1093.35
8,0,290.743,660.763,1230.3,178.872,710.006,1218.21,215.026,621.518,1192.61,,,,,,,233.854,645.275,1093.3
9,0,290.707,660.714,1230.3,178.802,709.985,1218.18,214.89,621.745,1192.25,,,,,,,233.766,645.146,1093.26
10,0,290.688,660.629,1230.31,178.723,709.935,1218.16,214.872,621.704,1192.12,,,,,,,234.07,645.668,1092.83
11,0,290.544,660.672,1230.27,178.677,709.91,1218.11,214.746,621.533,1192.05,,,,,,,234.132,645.784,1092.57
12,0,290.43,660.651,1230.25,178.613,709.893,1218.07,214.669,621.494,1191.96,,,,,,,234.077,645.702,1092.51
13,0,290.413,660.558,1230.3,178.521,709.901,1218.06,214.286,621.372,1191.99,,,,,,,234.461,646.35,1092.06
14,0,290.165,660.729,1230.17,178.447,709.929,1218.05,214.253,621.32,1191.94,,,,,,,234.611,646.613,1091.84
15,0,290.066,660.75,1230.18,178.385,709.944,1218.05,214.181,621.355,1191.92,,,,,,,234.933,647.164,1091.58
16,0,289.983,660.811,1230.19,178.368,709.968,1218.04,214.343,621.556,1191.95,,,,,,,234.758,646.863,1091.86
17,0,290.263,660.508,1230.53,178.314,710,1218.08,214.273,621.585,1192,,,,,,,234.756,646.972,1091.78
18,0,290.162,660.577,1230.53,178.289,710.037,1218.11,214.193,621.605,1192.11,,,,,,,234.745,646.937,1091.85
19,0,290.121,660.619,1230.54,178.28,710.018,1218.11,214.158,621.564,1192.19,,,,,,,234.736,646.943,1091.89
20,0,290.068,660.622,1230.57,178.14,710.033,1218.17,213.888,621.386,1192.27,,,,,,,234.633,646.996,1091.86
21,0,289.971,660.646,1230.51,178.127,710.007,1218.14,213.817,621.375,1192.28,,,,,,,234.592,646.907,1091.93
22,0,289.874,660.682,1230.49,178.07,709.963,1218.08,213.772,621.315,1192.29,,,,,,,234.379,646.689,1091.88
23,0,289.831,660.616,1230.5,178.022,709.923,1218.05,213.731,621.253,1192.29,,,,,,,234.649,646.806,1091.7
24,0,289.659,660.635,1230.42,177.957,709.878,1218,213.633,621.182,1192.28,,,,,,,234.548,646.736,1091.73
25,0,289.7,660.477,1230.49,177.883,709.81,1217.99,213.546,621.114,1192.23,,,,,,,234.264,646.452,1091.87
26,0,289.496,660.485,1230.41,177.785,709.715,1217.98,213.42,621.023,1192.2,,,,,,,232.091,643.964,1093.3
27,0,289.488,660.366,1230.41,177.768,709.66,1217.96,213.35,620.95,1192.12,,,,,,,233.493,645.693,1092.03
28,0,289.434,660.237,1230.41,177.681,709.53,1217.97,213.3,620.877,1192.04,,,,,,,231.956,643.86,1093.14
29,0,289.393,660.111,1230.38,177.553,709.384,1218,213.29,620.83,1192.04,,,,,,,231.746,643.755,1093.04
30,0,289.372,660.055,1230.4,177.496,709.324,1217.97,213.241,620.796,1191.98,,,,,,,231.909,643.866,1093.03
31,0,289.307,659.933,1230.41,177.47,709.283,1217.91,213.225,620.755,1191.95,,,,,,,231.853,643.748,1093.03
32,0,289.293,659.883,1230.47,177.521,709.329,1217.93,213.226,620.714,1191.93,,,,,,,231.804,643.768,1093.01
33,0,289.292,659.822,1230.46,177.53,709.33,1217.92,213.209,620.701,1191.97,,,,,,,231.618,643.563,1093.17
34,0,289.278,659.813,1230.44,177.519,709.309,1217.95,213.244,620.662,1191.96,,,,,,,231.688,643.641,1093.08
35,0,289.337,659.833,1230.41,177.568,709.29,1217.94,213.277,620.642,1191.98,,,,,,,231.912,643.771,1093.03
36,0,289.404,659.814,1230.44,177.644,709.261,1217.92,213.336,620.614,1192.02,,,,,,,231.758,643.489,1093.26
37,0,289.526,659.783,1230.41,177.628,709.14,1217.96,213.383,620.527,1192.05,,,,,,,231.695,643.26,1093.42
38,0,289.636,659.831,1230.4,177.668,709.15,1217.96,213.466,620.516,1192.05,,,,,,,233.595,645.339,1091.98
39,0,289.563,659.966,1230.3,177.7,709.094,1217.98,213.557,620.462,1192.07,,,,,,,233.635,645.203,1092.2
40,0,289.628,660.072,1230.25,177.715,709.054,1218.02,213.611,620.409,1192.1,,,,,,,233.446,644.772,1092.31
41,0,289.743,659.985,1230.27,177.769,708.981,1218.1,213.699,620.38,1192.07,,,,,,,233.531,644.815,1092.32
42,0,289.833,659.896,1230.27,177.877,708.954,1218.02,213.703,620.373,1192.1,,,,,,,233.296,644.429,1092.47
43,0,289.892,659.841,1230.27,177.95,708.912,1217.99,213.76,620.356,1192.09,,,,,,,233.27,644.379,1092.51
44,0,290.075,659.639,1230.35,177.967,708.871,1217.98,213.823,620.279,1192.1,,,,,,,232.988,643.937,1092.64
45,0,290.07,659.636,1230.26,178.018,708.823,1217.97,213.887,620.254,1192.04,,,,,,,232.792,643.611,1092.7
46,0,290.167,659.557,1230.29,178.084,708.717,1217.92,214.009,620.177,1191.95,,,,,,,232.426,643.004,1092.95
47,0,290.276,659.446,1230.3,178.047,708.649,1217.97,214.065,620.111,1191.98,,,,,,,232.352,642.875,1092.97
48,0,290.385,659.34,1230.34,178.149,708.633,1217.92,214.151,620.125,1191.91,,,,,,,231.998,642.272,1093.32
49,0,290.447,659.306,1230.38,178.187,708.583,1217.91,214.256,620.069,1191.9,,,,,,,231.885,642.084,1093.4
50,0,290.496,659.299,1230.38,178.24,708.506,1217.89,214.324,620.041,1191.85,,,,,,,231.263,641.334,1094.13
51,0,290.583,659.234,1230.37,178.255,708.383,1217.89,214.356,619.991,1191.88,,,,,,,231.163,641.078,1094.27
52,0,290.725,659.075,1230.44,178.367,708.388,1217.89,214.469,619.942,1191.86,,,,,,,231.158,640.938,1094.42
53,0,290.813,659.036,1230.43,178.396,708.301,1217.92,214.512,619.927,1191.82,,,,,,,231.141,640.858,1094.44
54,0,290.885,659.013,1230.43,178.402,708.266,1217.93,214.564,619.93,1191.79,,,,,,,231.336,641.033,1094.31
55,0,291.094,658.846,1230.58,178.403,708.298,1217.91,214.559,619.934,1191.79,,,,,,,231.355,641.049,1094.31
56,0,290.962,658.905,1230.5,178.466,708.306,1217.91,214.621,619.949,1191.82,,,,,,,231.197,640.898,1094.45
57,0,291.051,658.816,1230.55,178.455,708.334,1217.91,214.648,619.984,1191.79,,,,,,,231.23,640.864,1094.46
58,0,291.061,658.843,1230.54,178.508,708.311,1217.87,214.614,619.917,1191.82,,,,,,,231.201,640.813,1094.55
59,0,290.967,658.868,1230.52,178.415,708.32,1217.93,214.545,619.895,1191.86,,,,,,,231.243,640.867,1094.55
60,0,290.987,658.781,1230.56,178.391,708.283,1217.95,214.583,619.923,1191.86,,,,,,,231.074,640.737,1094.61
61,0,290.858,658.911,1230.52,178.34,708.286,1217.93,214.471,619.895,1191.9,,,,,,,231.273,640.971,1094.4
62,0,290.758,658.924,1230.47,178.314,708.325,1217.94,214.483,619.947,1191.89,,,,,,,231.011,640.764,1094.57
63,0,290.701,658.88,1230.44,178.312,708.326,1217.93,214.355,619.901,1191.94,,,,,,,231.246,640.985,1094.23
64,0,290.516,658.897,1230.31,178.247,708.35,1217.93,214.252,619.887,1191.93,,,,,,,231.446,641.331,1093.87
65,0,290.532,658.776,1230.35,178.113,708.306,1217.97,214.052,619.926,1191.98,,,,,,,231.627,641.665,1093.41
66,0,290.395,658.748,1230.34,178.074,708.31,1217.97,213.993,619.923,1191.94,,,,,,,231.591,641.598,1093.55
67,0,290.174,658.782,1230.31,177.999,708.26,1217.95,213.895,619.909,1191.94,,,,,,,231.932,642.184,1092.98
68,0,290.087,658.675,1230.36,177.942,708.215,1217.97,213.803,619.89,1191.9,,,,,,,231.728,641.95,1093.12
69,0,289.876,658.624,1230.28,177.863,708.168,1217.97,213.768,619.852,1191.87,,,,,,,232.067,642.409,1092.79
70,0,289.801,658.49,1230.24,177.807,708.152,1217.94,213.727,619.801,1191.79,,,,,,,231.28,641.692,1093.43
71,0,289.755,658.391,1230.3,177.789,708.066,1218.02,213.66,619.678,1191.69,,,,,,,232.108,642.563,1092.63
72,0,289.692,658.339,1230.29,177.789,708.045,1217.96,213.659,619.625,1191.64,,,,,,,231.148,641.509,1093.5
73,0,289.667,658.344,1230.3,177.776,708.012,1217.97,213.708,619.618,1191.66,,,,,,,231.186,641.506,1093.44
74,0,289.708,658.316,1230.34,177.769,707.977,1218.02,213.683,619.768,1191.5,,,,,,,231.227,641.566,1093.47
75,0,289.709,658.353,1230.39,177.763,707.987,1218.03,213.75,619.601,1191.73,,,,,,,231.894,642.214,1092.83
76,0,289.674,658.424,1230.39,177.775,707.996,1217.99,213.699,619.75,1191.64,,,,,,,231.601,641.813,1093.14
77,0,289.659,658.492,1230.43,177.809,708.015,1218.03,213.693,619.753,1191.74,,,,,,,231.892,642.105,1092.95
78,0,289.746,658.45,1230.56,177.758,708.017,1218.04,213.72,619.585,1192.01,,,,,,,231.732,641.842,1093.19
79,0,289.646,658.599,1230.49,177.77,708.029,1218.12,213.707,619.786,1191.83,,,,,,,231.668,641.842,1093.2
80,0,289.692,658.58,1230.52,177.797,708.053,1218.14,213.706,619.762,1191.86,,,,,,,231.775,641.918,1093.15
81,0,289.731,658.557,1230.53,177.831,708.045,1218.11,213.731,619.746,1191.9,,,,,,,231.69,641.772,1093.25
82,0,289.754,658.495,1230.54,177.779,708.01,1218.11,213.737,619.528,1192.1,,,,,,,231.532,641.484,1093.41
83,0,289.707,658.489,1230.5,177.819,707.989,1218.07,213.765,619.495,1192.07,,,,,,,231.047,641.008,1093.96
84,0,289.778,658.383,1230.45,177.859,707.94,1218,213.748,619.382,1192.05,,,,,,,231.506,641.444,1093.45
85,0,289.982,658.084,1230.55,177.858,707.894,1218.02,213.798,619.367,1191.99,,,,,,,230.99,640.92,1093.98
86,0,289.917,658.156,1230.43,177.866,707.838,1217.98,213.821,619.269,1191.94,,,,,,,231.187,640.907,1093.59
87,0,290.096,657.983,1230.48,177.928,707.794,1217.96,213.855,619.197,1191.93,,,,,,,230.923,640.666,1093.96
88,0,289.966,658.044,1230.41,177.978,707.775,1217.96,213.861,619.162,1191.92,,,,,,,230.896,640.604,1093.97
89,0,290.217,657.794,1230.58,177.985,707.759,1217.95,213.874,619.145,1191.94,,,,,,,230.866,640.53,1093.95
90,0,289.943,658.023,1230.44,177.95,707.755,1217.96,213.864,619.12,1191.98,,,,,,,230.815,640.415,1094.02
91,0,289.474,658.497,1230.05,177.997,707.761,1218.02,213.793,619.089,1192.04,,,,,,,230.811,640.411,1094.11
92,0,289.687,658.35,1230.33,178.02,707.798,1218.02,213.841,619.168,1192.07,,,,,,,230.974,640.539,1093.8
93,0,289.922,658.05,1230.55,178.028,707.838,1218.1,213.772,619.118,1192.2,,,,,,,231.02,640.628,1093.87
94,0,289.981,658.059,1230.65,178.083,707.828,1218.15,213.753,619.171,1192.3,,,,,,,230.93,640.473,1094.03
95,0,290.043,658.07,1230.68,178.079,707.838,1218.23,213.754,619.199,1192.33,,,,,,,230.851,640.351,1094.15
96,0,290.139,658.085,1230.74,178.153,707.823,1218.25,213.837,619.186,1192.38,,,,,,,230.574,639.892,1094.46
97,0,290.295,658.035,1230.8,178.278,707.827,1218.26,213.919,619.142,1192.43,,,,,,,230.424,639.623,1094.76
98,0,290.135,658.332,1230.6,178.349,707.778,1218.29,214.014,619.095,1192.46,,,,,,,230.139,639.141,1094.96
99,0,290.285,658.25,1230.62,178.434,707.743,1218.32,214.069,619.078,1192.46,,,,,,,229.933,638.804,1095.15
100,0,290.316,658.211,1230.65,178.5,707.684,1218.38,214.158,619.037,1192.46,,,,,,,229.969,638.852,1095.18
101,0,290.398,658.162,1230.62,178.634,707.67,1218.31,214.201,618.994,1192.42,,,,,,,229.96,638.839,1095.2
102,0,290.486,658.085,1230.6,178.673,707.619,1218.34,214.279,618.949,1192.42,,,,,,,229.87,638.668,1095.28
103,0,290.589,657.959,1230.6,178.684,707.546,1218.36,214.36,618.954,1192.41,,,,,,,230.463,639.403,1095.04
104,0,290.551,658.017,1230.55,178.691,707.521,1218.38,214.39,618.912,1192.39,,,,,,,230.471,639.415,1095
105,0,290.66,657.916,1230.6,178.736,707.471,1218.36,214.466,618.887,1192.38,,,,,,,230.518,639.436,1094.98
106,0,290.747,657.875,1230.66,178.744,707.434,1218.37,214.5,618.859,1192.37,,,,,,,229.872,638.682,1095.19
107,0,290.731,657.909,1230.57,178.804,707.433,1218.38,214.52,618.872,1192.39,,,,,,,230.185,638.976,1094.98
108,0,290.847,657.824,1230.59,178.817,707.433,1218.37,214.608,618.872,1192.38,,,,,,,230.703,639.588,1094.86
109,0,290.831,657.863,1230.58,178.834,707.45,1218.41,214.629,618.873,1192.4,,,,,,,230.672,639.577,1094.87
110,0,290.719,657.922,1230.26,178.925,707.476,1218.4,214.675,618.893,1192.45,,,,,,,230.896,639.82,1094.77
111,0,291.027,657.823,1230.66,178.894,707.473,1218.45,214.796,619.091,1192.39,,,,,,,230.872,639.723,1094.89
112,0,290.975,657.934,1230.61,178.944,707.454,1218.49,214.918,619.082,1192.51,,,,,,,230.804,639.625,1095
113,0,290.997,658.007,1230.69,178.94,707.496,1218.54,214.874,619.12,1192.5,,,,,,,230.913,639.749,1095.09
114,0,291.025,658.039,1230.69,178.927,707.505,1218.58,214.901,619.129,1192.56,,,,,,,231.148,640.003,1094.93
115,0,291.119,658.056,1230.75,178.944,707.547,1218.59,214.832,619.175,1192.58,,,,,,,230.914,639.73,1095.17
116,0,291.069,658.183,1230.74,178.916,707.56,1218.62,214.886,619.225,1192.61,,,,,,,231.05,639.87,1095.18
117,0,291.056,658.238,1230.78,178.931,707.602,1218.63,214.843,619.231,1192.61,,,,,,,231.048,639.817,1095.23
118,0,291.102,658.292,1230.83,178.925,707.643,1218.63,214.833,619.291,1192.63,,,,,,,231.015,639.818,1095.28
119,0,291.092,658.365,1230.83,178.894,707.668,1218.67,214.819,619.324,1192.68,,,,,,,230.941,639.733,1095.38
120,0,291.052,658.478,1230.85,178.86,707.706,1218.71,214.786,619.378,1192.68,,,,,,,230.746,639.537,1095.53
121,0,291.112,658.452,1230.86,178.863,707.757,1218.77,214.821,619.423,1192.67,,,,,,,230.811,639.66,1095.47
122,0,291.148,658.509,1230.89,178.84,707.751,1218.77,214.794,619.555,1192.74,,,,,,,230.673,639.527,1095.59
123,0,291.124,658.581,1230.9,178.887,707.784,1218.76,214.796,619.562,1192.74,,,,,,,230.913,639.72,1095.43
124,0,291.125,658.57,1230.92,178.862,707.766,1218.72,214.826,619.449,1192.73,,,,,,,230.965,639.757,1095.42
125,0,291.121,658.561,1230.88,178.82,707.753,1218.71,214.815,619.549,1192.69,,,,,,,230.86,639.724,1095.4
126,0,291.122,658.532,1230.87,178.812,707.743,1218.65,214.774,619.55,1192.61,,,,,,,230.951,639.862,1095.27
127,0,291.078,658.543,1230.82,178.741,707.747,1218.63,214.732,619.587,1192.51,,,,,,,230.841,639.721,1095.33
128,0,291.068,658.491,1230.78,178.684,707.754,1218.58,214.637,619.633,1192.44,,,,,,,230.78,639.696,1095.32
129,0,291.001,658.548,1230.72,178.678,707.767,1218.56,214.661,619.691,1192.36,,,,,,,230.649,639.582,1095.32
130,0,290.997,658.611,1230.66,178.63,707.807,1218.55,214.605,619.764,1192.31,,,,,,,230.581,639.597,1095.34
131,0,291.042,658.62,1230.71,178.644,707.867,1218.56,214.661,619.793,1192.33,,,,,,,230.03,638.925,1095.56
132,0,291.072,658.666,1230.72,178.691,707.951,1218.56,214.667,619.841,1192.36,,,,,,,230.649,639.657,1095.26
133,0,291.074,658.808,1230.73,178.808,708.048,1218.56,214.689,619.877,1192.36,,,,,,,230.609,639.664,1095.32
134,0,291.113,658.904,1230.78,178.829,708.117,1218.55,214.765,619.939,1192.46,,,,,,,230.072,638.997,1095.8
135,0,291.137,659.01,1230.82,178.859,708.206,1218.57,214.81,619.976,1192.5,,,,,,,230.616,639.582,1095.54
136,0,291.179,659.099,1230.8,178.9,708.238,1218.6,214.84,620.032,1192.52,,,,,,,230.545,639.507,1095.58
137,0,291.173,659.19,1230.77,178.898,708.304,1218.58,214.984,620.065,1192.62,,,,,,,230.486,639.479,1095.65
138,0,291.135,659.258,1230.75,178.828,708.202,1218.51,215.009,620.145,1192.58,,,,,,,230.587,639.506,1095.58
139,0,291.103,659.307,1230.8,178.745,708.209,1218.42,214.994,620.136,1192.63,,,,,,,230.794,639.735,1095.45
140,0,291.009,659.337,1230.79,178.673,708.324,1218.45,214.912,620.132,1192.61,,,,,,,230.647,639.624,1095.49
141,0,290.912,659.378,1230.81,178.624,708.362,1218.38,214.794,620.113,1192.64,,,,,,,230.552,639.623,1095.47
142,0,290.939,659.175,1230.79,178.57,708.383,1218.34,214.609,620.104,1192.55,,,,,,,230.461,639.663,1095.32
143,0,290.853,659.086,1230.82,178.399,708.263,1218.31,214.445,620.105,1192.55,,,,,,,230.496,639.719,1095.22
144,0,290.695,659.16,1230.73,178.369,708.306,1218.25,214.358,620.134,1192.53,,,,,,,230.738,640.127,1095.01
145,0,290.593,659.126,1230.7,178.246,708.265,1218.23,214.319,620.123,1192.49,,,,,,,230.841,640.298,1094.94
146,0,290.414,659.235,1230.62,178.148,708.327,1218.29,214.229,620.116,1192.51,,,,,,,230.649,639.976,1095.06
147,0,290.289,659.189,1230.64,178.083,708.31,1218.27,214.146,620.13,1192.53,,,,,,,230.705,640.072,1095.02
148,0,290.164,659.2,1230.67,177.987,708.323,1218.29,214.082,620.115,1192.59,,,,,,,230.702,640.062,1095.05
149,0,290.095,659.158,1230.68,177.924,708.297,1218.31,214.008,620.028,1192.62,,,,,,,230.701,640.063,1095.05
150,0,290.044,659.005,1230.78,177.84,708.295,1218.34,213.926,619.996,1192.64,,,,,,,230.762,640.167,1094.98
151,0,289.889,659.063,1230.75,177.796,708.226,1218.37,213.886,619.943,1192.7,,,,,,,230.893,640.383,1094.86
152,0,289.846,659.004,1230.75,177.725,708.188,1218.42,213.86,619.898,1192.72,,,,,,,230.79,640.214,1094.94
153,0,289.933,658.866,1230.86,177.735,708.112,1218.45,213.818,619.675,1192.84,,,,,,,230.782,640.198,1094.86
154,0,289.877,658.827,1230.85,177.731,708.062,1218.43,213.815,619.641,1192.85,,,,,,,230.737,640.124,1094.88
155,0,289.935,658.749,1230.87,177.805,708.024,1218.41,213.803,619.54,1192.85,,,,,,,230.5,639.726,1095.03
